"PASSENGERS","UNIQUE_CARRIER","UNIQUE_CARRIER_NAME","ORIGIN_AIRPORT_ID","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_ABR","DEST_AIRPORT_ID","DEST","DEST_CITY_NAME","DEST_STATE_ABR","YEAR",
0.00,"FX","Federal Express Corporation",12339,"IND","Indianapolis, IN","IN",11775,"FSD","Sioux Falls, SD","SD",2019,
0.00,"FX","Federal Express Corporation",13244,"MEM","Memphis, TN","TN",11775,"FSD","Sioux Falls, SD","SD",2019,
0.00,"5X","United Parcel Service",11775,"FSD","Sioux Falls, SD","SD",11638,"FAT","Fresno, CA","CA",2019,
0.00,"5X","United Parcel Service",11775,"FSD","Sioux Falls, SD","SD",13891,"ONT","Ontario, CA","CA",2019,
0.00,"5X","United Parcel Service",11775,"FSD","Sioux Falls, SD","SD",14730,"SDF","Louisville, KY","KY",2019,
0.00,"5X","United Parcel Service",13871,"OMA","Omaha, NE","NE",11775,"FSD","Sioux Falls, SD","SD",2019,
0.00,"5X","United Parcel Service",14730,"SDF","Louisville, KY","KY",11775,"FSD","Sioux Falls, SD","SD",2019,
0.00,"FX","Federal Express Corporation",10141,"ABR","Aberdeen, SD","SD",11775,"FSD","Sioux Falls, SD","SD",2019,
0.00,"FX","Federal Express Corporation",10620,"BIL","Billings, MT","MT",11775,"FSD","Sioux Falls, SD","SD",2019,
0.00,"FX","Federal Express Corporation",11775,"FSD","Sioux Falls, SD","SD",10141,"ABR","Aberdeen, SD","SD",2019,
0.00,"FX","Federal Express Corporation",11775,"FSD","Sioux Falls, SD","SD",11637,"FAR","Fargo, ND","ND",2019,
0.00,"FX","Federal Express Corporation",11775,"FSD","Sioux Falls, SD","SD",13244,"MEM","Memphis, TN","TN",2019,
0.00,"FX","Federal Express Corporation",11775,"FSD","Sioux Falls, SD","SD",14120,"PIR","Pierre, SD","SD",2019,
0.00,"FX","Federal Express Corporation",11775,"FSD","Sioux Falls, SD","SD",14457,"RAP","Rapid City, SD","SD",2019,
0.00,"FX","Federal Express Corporation",12339,"IND","Indianapolis, IN","IN",11775,"FSD","Sioux Falls, SD","SD",2019,
0.00,"EM","Empire Airlines Inc.",11775,"FSD","Sioux Falls, SD","SD",14457,"RAP","Rapid City, SD","SD",2019,
0.00,"EM","Empire Airlines Inc.",14457,"RAP","Rapid City, SD","SD",11775,"FSD","Sioux Falls, SD","SD",2019,
0.00,"EM","Empire Airlines Inc.",11775,"FSD","Sioux Falls, SD","SD",14457,"RAP","Rapid City, SD","SD",2019,
0.00,"EM","Empire Airlines Inc.",14457,"RAP","Rapid City, SD","SD",11775,"FSD","Sioux Falls, SD","SD",2019,
0.00,"UA","United Air Lines Inc.",11775,"FSD","Sioux Falls, SD","SD",13485,"MSN","Madison, WI","WI",2019,
0.00,"5X","United Parcel Service",11775,"FSD","Sioux Falls, SD","SD",11637,"FAR","Fargo, ND","ND",2019,
0.00,"5X","United Parcel Service",11775,"FSD","Sioux Falls, SD","SD",13295,"MHR","Sacramento, CA","CA",2019,
0.00,"5X","United Parcel Service",11775,"FSD","Sioux Falls, SD","SD",13487,"MSP","Minneapolis, MN","MN",2019,
0.00,"5X","United Parcel Service",11775,"FSD","Sioux Falls, SD","SD",13796,"OAK","Oakland, CA","CA",2019,
